"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 01 02:41:38 UTC 2021","Thu Jul 01 02:42:50 UTC 2021","72164","e2e.interOp.iOS.PassPoint","test_PassPointConnection","TestPassPointConnection","","","test_PassPointConnection_5g_WPA[setup_profiles0]",""
"failed","Thu Jul 01 00:56:10 UTC 2021","Thu Jul 01 00:56:10 UTC 2021","1","e2e.interOp.android.OpenRoamingPassPoint","test_OpenRoaming_BridgeMode","TestOpenRoamingBridgeMode","","","test_OpenRoaming_5g_WPA2_EAP[push_ap_profile0-setup_profiles0]","
            EAP Passpoint BRIDGE Mode
            pytest -m ""interop_iOS and eap_passpoint and bridge and wpa2_eap and fiveg""
        "
"failed","Thu Jul 01 00:37:04 UTC 2021","Thu Jul 01 00:37:54 UTC 2021","49934","e2e.interOp.android.AirplaneMode","test_ToggleAirplaneMode","TestToggleAirplaneModeAndroid","","","test_ToogleAirplaneMode_5g_WPA2_Personal[setup_profiles0]",""
"passed","Thu Jul 01 00:29:01 UTC 2021","Thu Jul 01 00:31:12 UTC 2021","130795","e2e.interOp.android.AccessPointConnection","test_AccessPointConnection","TestAcessPointConnection","","","test_AccessPointConnection_2g_WPA2_Personal[setup_profiles0]",""
"failed","Thu Jul 01 00:27:32 UTC 2021","Thu Jul 01 00:28:23 UTC 2021","50994","e2e.interOp.android.AccessPointConnection","test_AccessPointConnection","TestAcessPointConnection","","","test_AccessPointConnection_5g_WPA2_Personal[setup_profiles0]",""
"broken","Thu Jul 01 01:57:17 UTC 2021","Thu Jul 01 01:57:17 UTC 2021","0","e2e.interOp.iOS.OpenRoamingPassPoint","test_OpenRoaming_BridgeMode","TestOpenRoamingBridge","","","test_OpenRoaming_2g_WPA2_EAP_BRIDGE[push_ap_profile0-setup_profiles0]",""
"failed","Thu Jul 01 01:26:11 UTC 2021","Thu Jul 01 01:27:01 UTC 2021","49684","e2e.interOp.android.client_connectivity","test_NatMode","TestNatMode","","","test_ClientConnectivity_5g_WPA2_Personal[setup_profiles0]",""
"passed","Thu Jul 01 01:23:17 UTC 2021","Thu Jul 01 01:24:37 UTC 2021","79714","e2e.interOp.android.WifiMode","test_ToggleWifiMode","TestToggleWifiMode","","","test_ToogleWifiMode_2g_WPA[setup_profiles0]",""
"passed","Thu Jul 01 01:52:10 UTC 2021","Thu Jul 01 01:53:36 UTC 2021","86379","e2e.interOp.iOS.AirplaneMode","test_ToggleAirplaneMode","TestToggleAirplaneMode","","","test_ToogleAirplaneMode_5g_WPA[setup_profiles0]",""
"passed","Thu Jul 01 01:19:52 UTC 2021","Thu Jul 01 01:21:12 UTC 2021","80181","e2e.interOp.android.WifiMode","test_ToggleWifiMode","TestToggleWifiMode","","","test_ToogleWifiMode_2g_WPA2_Personal[setup_profiles0]",""
"passed","Thu Jul 01 01:39:37 UTC 2021","Thu Jul 01 01:41:40 UTC 2021","123016","e2e.interOp.iOS.AccessPointConnection","test_AccessPointConnection","TestAccessPointConnectivety","","","test_AccessPointConnection_5g_WPA[setup_profiles0]",""
"broken","Thu Jul 01 01:58:22 UTC 2021","Thu Jul 01 01:58:22 UTC 2021","0","e2e.interOp.iOS.OpenRoamingPassPoint","test_OpenRoaming_NatMode","TestOpenRoamingNAT","","","test_OpenRoaming_5g_WPA2_EAP_NAT[push_ap_profile0-setup_profiles0]",""
"passed","Thu Jul 01 01:27:40 UTC 2021","Thu Jul 01 01:28:33 UTC 2021","53108","e2e.interOp.android.client_connectivity","test_NatMode","TestNatMode","","","test_ClientConnectivity_2g_WPA2_Personal[setup_profiles0]",""
"failed","Thu Jul 01 01:05:35 UTC 2021","Thu Jul 01 01:05:35 UTC 2021","0","e2e.interOp.android.OpenRoamingPassPoint","test_OpenRoaming_BridgeMode","TestOpenRoamingBridgeMode","","","test_wpa2_only_eap_5g[push_ap_profile0-setup_profiles0]","
             EAP Passpoint BRIDGE Mode
             pytest -m ""interop_iOS and eap_passpoint and bridge and wpa2_only_eap and fiveg""
        "
"failed","Thu Jul 01 02:44:56 UTC 2021","Thu Jul 01 02:47:11 UTC 2021","134713","e2e.interOp.iOS.WifiMode","test_ToggleWifiMode","TestToggleWifiMode","","","test_ToogleWifiMode_5g_WPA2_Personal[setup_profiles0]",""
"passed","Thu Jul 01 01:29:12 UTC 2021","Thu Jul 01 01:30:05 UTC 2021","52471","e2e.interOp.android.client_connectivity","test_NatMode","TestNatMode","","","test_ClientConnectivity_2g_WPA[setup_profiles0]",""
"failed","Thu Jul 01 02:31:23 UTC 2021","Thu Jul 01 02:31:23 UTC 2021","1","e2e.interOp.iOS.OpenRoamingPassPoint","test_OpenRoaming_vlan_mode","TestOpenRoamingBridgeVLAN","","","test_wpa2_only_eap_5g_VLAN[push_ap_profile0-setup_profiles0]",""
"passed","Thu Jul 01 00:38:33 UTC 2021","Thu Jul 01 00:39:28 UTC 2021","55348","e2e.interOp.android.AirplaneMode","test_ToggleAirplaneMode","TestToggleAirplaneModeAndroid","","","test_ToogleAirplaneMode_2g_WPA2_Personal[setup_profiles0]",""
